c_order_id,c_order_date,c_order_paid,customer_id,review_id,c_order_payment_method,c_order_ship,c_order_ship_status,  c_order_ship_cost  ,  c_order_subtotal  ,  c_order_tax  ,  c_order_total  
1,2021-12-31,1,2,1,Credit Card,1,1,6.51,28.69,4.21,28.69
2,2021-12-29,1,1,2,Other,1,1,6.51,167.78,4.21,167.78
3,2021-12-14,1,3,3,Credit Card,1,1,6.51,38.07,4.21,38.07
4,2021-12-10,1,4,4,Credit Card,1,1,6.51,57.35,4.21,57.35
5,2021-12-05,1,1,5,Other,1,1,6.51,20,4.21,20
6,2021-11-30,1,5,6,Credit Card,1,1,6.51,31.88,4.21,31.88
7,2021-11-27,1,1,7,Other,1,1,6.51,30.9,4.21,30.9
8,2021-11-27,1,1,8,Other,1,1,6.51,27,4.21,27
9,2021-11-27,1,1,9,Other,1,1,6.51,21.85,4.21,21.85
10,2021-11-27,1,1,10,Other,1,1,6.51,7.9,4.21,7.9
11,2021-11-21,1,1,11,Other,1,1,6.51,12,4.21,12
12,2021-11-21,1,1,12,Other,1,1,6.51,4.95,4.21,4.95
13,2021-11-21,1,1,13,Other,1,1,6.51,18,4.21,18
14,2021-11-21,1,1,14,Other,1,1,6.51,27,4.21,27
15,2021-11-21,1,1,15,Other,1,1,6.51,8,4.21,8
16,2021-11-13,1,1,16,Other,1,1,6.51,10,4.21,10
17,2021-11-13,1,1,17,Other,1,1,6.51,12,4.21,12
18,2021-11-13,1,1,18,Other,1,1,6.51,14.95,4.21,14.95
19,2021-11-13,1,1,19,Other,1,1,6.51,10,4.21,10
20,2021-11-05,1,1,20,Other,1,1,6.51,4,4.21,4
21,2021-11-01,1,1,21,Other,1,1,6.51,30,4.21,30
22,2021-10-30,1,6,22,Credit Card,1,1,6.51,29.91,4.21,29.91
23,2021-10-27,1,7,23,Credit Card,1,1,6.51,38.47,4.21,38.47
24,2021-10-26,1,1,24,Other,1,1,6.51,5,4.21,5
25,2021-10-26,1,1,25,Other,1,1,6.51,5,4.21,5
26,2021-10-26,1,1,26,Other,1,1,6.51,5,4.21,5
27,2021-10-26,1,1,27,Other,1,1,6.51,5,4.21,5
28,2021-10-25,1,1,28,Other,1,1,6.51,6.95,4.21,6.95
29,2021-10-24,1,1,29,Other,1,1,6.51,7.95,4.21,7.95
30,2021-10-24,1,1,30,Other,1,1,6.51,10,4.21,10
31,2021-10-18,1,1,31,Other,1,1,6.51,0.95,4.21,0.95
32,2021-10-18,1,1,32,Other,1,1,6.51,0.95,4.21,0.95
33,2021-10-18,1,1,33,Other,1,1,6.51,1,4.21,1
34,2021-10-18,1,1,34,Other,1,1,6.51,2.95,4.21,2.95
35,2021-10-18,1,1,35,Other,1,1,6.51,2.04,4.21,2.1
36,2021-10-18,1,1,36,Other,1,1,6.51,5.95,4.21,5.95
37,2021-10-18,1,1,37,Other,1,1,6.51,5,4.21,5
38,2021-10-18,1,1,38,Other,1,1,6.51,5,4.21,5
39,2021-10-18,1,1,39,Other,1,1,6.51,5,4.21,5
40,2021-10-18,1,1,40,Other,1,1,6.51,53.85,4.21,53.85
41,2021-09-28,1,1,41,Card,1,1,6.51,135,4.21,135
42,2021-03-07,1,1,42,Cash,1,1,6.51,12,4.21,12
43,2021-03-07,1,1,43,Cash,1,1,6.51,17,4.21,17
44,2021-03-09,1,1,44,Card,1,1,6.51,60,4.21,60
45,2021-03-07,1,1,45,Cash,1,1,6.51,6,4.21,6
46,2021-03-09,1,1,46,Card,1,1,6.51,12,4.21,12
47,2021-03-09,1,1,47,Card,1,1,6.51,45,4.21,45
